id,category,drug_name,class_name,mechanism,target,indication,adverse_effect,exam_point,is_important,memo
26,循環器系,ロサルタン,ARB,AT1受容体を遮断しアンジオテンシンIIの作用を抑える,AT1受容体,高血圧,高K血症・腎機能悪化,ACE阻害薬より空咳が少ない,1,
27,循環器系,サクビトリルバルサルタン,ARNI,ネプリライシン阻害とAT1遮断で利尿ペプチド作用を高めRAA系を抑える,ネプリライシン AT1受容体,慢性心不全,低血圧・高K血症・血管浮腫,ACE阻害薬との併用や切替間隔に注意,1,
28,循環器系,スピロノラクトン,抗アルドステロン薬,アルドステロン受容体を遮断しNa排泄とK保持を起こす,ミネラルコルチコイド受容体,心不全・高血圧・浮腫,高K血症・女性化乳房,集合管でK保持性利尿を示す,1,
29,循環器系,フロセミド,ループ利尿薬,ヘンレ係蹄上行脚のNa-K-2Cl共輸送体を阻害する,NKCC2,浮腫・高血圧・心不全,低K血症・聴覚障害・高尿酸血症,強力な利尿薬で低K血症に注意,1,
30,循環器系,ヒドロクロロチアジド,チアジド系利尿薬,遠位尿細管Na-Cl共輸送体を阻害しNa排泄を増やす,NCC,高血圧・浮腫,低K血症・高尿酸血症・高血糖,Ca再吸収は増える方向,1,
31,循環器系,ジゴキシン,強心配糖体,Na-K ATPaseを阻害し細胞内Caを増やして心収縮力を高める,Na-K ATPase,心不全・頻脈性心房細動,悪心・視覚異常・不整脈,治療域が狭くK低下で中毒リスク上昇,1,
32,循環器系,アミオダロン,Kチャネル遮断薬,Kチャネル遮断を中心に活動電位持続時間を延長する,Kチャネル,重症不整脈,間質性肺炎・甲状腺機能異常・肝障害,多チャネル作用と肺毒性が重要,1,
33,循環器系,リドカイン,Ib群抗不整脈薬,Naチャネルを遮断し心室筋の自動能を抑える,Naチャネル,心室性不整脈,中枢症状・けいれん,虚血心筋に作用しやすいIb群,1,
34,循環器系,ワルファリン,ビタミンK拮抗薬,ビタミンKエポキシド還元酵素を阻害し凝固因子II VII IX X産生を抑える,VKORC1,血栓塞栓症予防,出血・催奇形性,効果判定はPT-INRで行う,1,
35,循環器系,ヘパリン,抗凝固薬,アンチトロンビンを活性化しトロンビンとXaを阻害する,アンチトロンビン,血栓塞栓症・DIC,出血・HIT,効果判定はAPTTが代表,1,
36,循環器系,アルテプラーゼ,t-PA製剤,プラスミノーゲンをプラスミンへ変換しフィブリン血栓を溶解する,プラスミノーゲン,急性期脳梗塞・肺塞栓,出血,発症からの時間管理が重要,1,
37,中枢神経系,ジアゼパム,ベンゾジアゼピン系,GABAA受容体のベンゾジアゼピン結合部位に作用しClチャネル開口頻度を増やす,GABAA受容体,不安・けいれん・筋緊張,眠気・呼吸抑制・依存,開口頻度を増やす点がバルビツール酸系と違う,1,
38,中枢神経系,フェノバルビタール,バルビツール酸系,GABAA受容体に作用しClチャネル開口時間を延長する,GABAA受容体,てんかん,眠気・呼吸抑制・薬物代謝酵素誘導,開口時間延長と酵素誘導が重要,1,
39,中枢神経系,フェニトイン,抗てんかん薬,電位依存性Naチャネルを頻度依存的に遮断する,Naチャネル,てんかん,歯肉増殖・小脳失調・催奇形性,強いCYP誘導薬で相互作用が多い,1,
40,中枢神経系,カルバマゼピン,抗てんかん薬,電位依存性Naチャネルを遮断し反復発火を抑制する,Naチャネル,部分発作・三叉神経痛,眠気・肝障害・薬疹,三叉神経痛にも使うNaチャネル遮断薬,1,
41,中枢神経系,バルプロ酸,抗てんかん薬,GABA分解抑制とNaチャネル遮断などで神経興奮を抑える,GABA代謝 Naチャネル,てんかん・躁状態,肝障害・催奇形性・高アンモニア血症,広域抗てんかん薬だが妊婦では注意,1,
42,中枢神経系,レボドパ,ドパミン前駆体,脳内でドパミンに変換され線条体ドパミンを補う,ドパミン神経,パーキンソン病,悪心・幻覚・wearing off,カルビドパなど末梢脱炭酸酵素阻害薬と併用,1,
43,中枢神経系,セレギリン,MAO-B阻害薬,ドパミン分解酵素MAO-Bを阻害し脳内ドパミンを増やす,MAO-B,パーキンソン病,不眠・幻覚,MAO-B選択的阻害でドパミン分解を抑える,1,
44,中枢神経系,エンタカポン,COMT阻害薬,末梢COMTを阻害しレボドパの分解を抑える,COMT,パーキンソン病,下痢・尿着色・ジスキネジア,レボドパ作用時間を延長する補助薬,1,
45,中枢神経系,ハロペリドール,定型抗精神病薬,D2受容体遮断により中脳辺縁系ドパミン過活動を抑える,D2受容体,統合失調症・せん妄,錐体外路症状・高プロラクチン血症,D2遮断が強く錐体外路症状に注意,1,
46,中枢神経系,リスペリドン,非定型抗精神病薬,D2受容体と5-HT2A受容体を遮断する,D2受容体 5-HT2A受容体,統合失調症,高プロラクチン血症・錐体外路症状,非定型だが高プロラクチン血症が比較的多い,1,
47,中枢神経系,オランザピン,非定型抗精神病薬,多受容体遮断によりドパミンとセロトニン神経伝達を調整する,D2受容体 5-HT2A受容体,統合失調症・双極性障害,体重増加・高血糖,代謝系副作用が国試頻出,1,
48,中枢神経系,フルボキサミン,SSRI,セロトニントランスポーターを阻害し5-HT再取り込みを抑える,SERT,うつ病・強迫性障害,悪心・性機能障害・セロトニン症候群,CYP阻害による相互作用にも注意,1,
49,中枢神経系,デュロキセチン,SNRI,セロトニンとノルアドレナリンの再取り込みを阻害する,SERT NET,うつ病・疼痛,悪心・血圧上昇,疼痛を伴う病態にも使われる,1,
50,中枢神経系,ミルタザピン,NaSSA,α2受容体遮断でNAと5-HT遊離を促進し5-HT2と5-HT3も遮断する,α2受容体 5-HT受容体,うつ病,眠気・体重増加,眠気と食欲増加が特徴,1,
51,中枢神経系,モルヒネ,オピオイドμ受容体作動薬,μ受容体刺激で疼痛伝達を抑制し下行性抑制系を賦活する,μ受容体,がん疼痛・急性疼痛,便秘・呼吸抑制・悪心,便秘には耐性が生じにくい,1,
52,中枢神経系,ナロキソン,オピオイド受容体拮抗薬,オピオイド受容体を競合的に遮断し呼吸抑制などを改善する,μ受容体など,オピオイド過量投与,離脱症状,モルヒネ中毒の拮抗薬,1,
53,中枢神経系,リドカイン,局所麻酔薬,電位依存性Naチャネルを内側から遮断し活動電位発生を抑える,Naチャネル,局所麻酔,中枢症状・心毒性,弱塩基性薬物で炎症部位では効きにくい,1,
54,中枢神経系,プロポフォール,静脈麻酔薬,GABAA受容体機能を増強し速やかな鎮静麻酔を起こす,GABAA受容体,全身麻酔導入・鎮静,呼吸抑制・血圧低下,導入と覚醒が速い静脈麻酔薬,0,
55,抗菌薬・抗ウイルス薬,ペニシリンG,βラクタム系抗菌薬,PBPsに結合し細胞壁ペプチドグリカン架橋を阻害する,ペニシリン結合タンパク,レンサ球菌感染症など,アレルギー・ショック,細胞壁合成阻害薬はヒト細胞にない標的,1,
56,抗菌薬・抗ウイルス薬,セファゾリン,セフェム系抗菌薬,PBPs阻害により細菌細胞壁合成を抑える,PBPs,周術期感染予防など,アレルギー・腎障害,第一世代セフェムはグラム陽性菌に比較的強い,1,
57,抗菌薬・抗ウイルス薬,メロペネム,カルバペネム系抗菌薬,PBPsを阻害し広域に細胞壁合成を抑える,PBPs,重症感染症,けいれん・下痢,広域βラクタムで耐性菌選択に注意,1,
58,抗菌薬・抗ウイルス薬,バンコマイシン,グリコペプチド系抗菌薬,D-Ala-D-Alaに結合し細胞壁合成を阻害する,ペプチドグリカン前駆体,MRSA感染症,腎障害・レッドマン症候群,βラクタムと異なりPBPsではなくD-Ala-D-Ala標的,1,
59,抗菌薬・抗ウイルス薬,ホスホマイシン,ホスホン酸系抗菌薬,UDP-Nアセチルグルコサミンエノールピルビル転移酵素を阻害する,MurA,尿路感染症,下痢・肝障害,細胞壁合成の初期段階を阻害,0,
60,抗菌薬・抗ウイルス薬,アミカシン,アミノグリコシド系抗菌薬,30Sリボソームに結合しタンパク質合成を阻害する,30Sリボソーム,重症グラム陰性菌感染症,腎障害・聴覚障害,濃度依存性殺菌作用とTDMが重要,1,
61,抗菌薬・抗ウイルス薬,テトラサイクリン,テトラサイクリン系抗菌薬,30Sリボソームに結合しアミノアシルtRNAの結合を阻害する,30Sリボソーム,リケッチア・クラミジアなど,歯牙着色・光線過敏,小児や妊婦で歯牙骨への影響に注意,1,
62,抗菌薬・抗ウイルス薬,クラリスロマイシン,マクロライド系抗菌薬,50Sリボソームに結合しペプチド鎖伸長を阻害する,50Sリボソーム,呼吸器感染症・ピロリ除菌,QT延長・CYP阻害,マクロライドはCYP3A4阻害が相互作用で重要,1,
63,抗菌薬・抗ウイルス薬,クリンダマイシン,リンコマイシン系抗菌薬,50Sリボソームに結合しタンパク質合成を阻害する,50Sリボソーム,嫌気性菌感染症,偽膜性大腸炎,Clostridioides difficile関連腸炎に注意,1,
64,抗菌薬・抗ウイルス薬,クロラムフェニコール,クロラムフェニコール系抗菌薬,50Sリボソームのペプチジルトランスフェラーゼを阻害する,50Sリボソーム,重症感染症,再生不良性貧血・灰白症候群,重篤な骨髄抑制が代表的副作用,1,
65,抗菌薬・抗ウイルス薬,レボフロキサシン,ニューキノロン系抗菌薬,DNAジャイレースとトポイソメラーゼIVを阻害する,DNAジャイレース トポイソメラーゼIV,呼吸器・尿路感染症,腱障害・QT延長,金属カチオンで吸収低下,1,
66,抗菌薬・抗ウイルス薬,リファンピシン,抗結核薬,DNA依存性RNAポリメラーゼを阻害しRNA合成を抑える,RNAポリメラーゼ,結核,肝障害・体液橙赤色化,CYP誘導が強く相互作用が多い,1,
67,抗菌薬・抗ウイルス薬,イソニアジド,抗結核薬,ミコール酸合成を阻害し結核菌細胞壁合成を抑える,ミコール酸合成,結核,末梢神経障害・肝障害,ビタミンB6併用で末梢神経障害を予防,1,
68,抗菌薬・抗ウイルス薬,アシクロビル,抗ヘルペスウイルス薬,ウイルスTKでリン酸化されDNAポリメラーゼを阻害する,ウイルスDNAポリメラーゼ,単純ヘルペス・帯状疱疹,腎障害,感染細胞選択性はウイルスチミジンキナーゼが鍵,1,
69,抗菌薬・抗ウイルス薬,オセルタミビル,抗インフルエンザ薬,ノイラミニダーゼを阻害しウイルス粒子放出を抑える,ノイラミニダーゼ,インフルエンザ,悪心・異常行動,発症早期投与が有効性に関係,1,
70,抗菌薬・抗ウイルス薬,ドルテグラビル,HIVインテグラーゼ阻害薬,HIVインテグラーゼを阻害し宿主DNAへの組込みを抑える,インテグラーゼ,HIV感染症,不眠・頭痛,INSTIはHIV治療の中心薬の一つ,0,
71,抗菌薬・抗ウイルス薬,ソホスブビル,抗HCV薬,HCV NS5B RNAポリメラーゼを阻害しウイルスRNA複製を抑える,NS5Bポリメラーゼ,C型肝炎,頭痛・倦怠感,直接作用型抗ウイルス薬DAAの代表,0,
72,抗炎症薬・免疫,アスピリン,NSAIDs・抗血小板薬,COXを不可逆的に阻害しPGとTXA2産生を抑える,COX-1 COX-2,疼痛・発熱・血栓予防,胃障害・出血・喘息発作,低用量では血小板TXA2抑制が中心,1,
73,抗炎症薬・免疫,イブプロフェン,NSAIDs,COXを可逆的に阻害しプロスタグランジン産生を抑える,COX,疼痛・発熱・炎症,胃障害・腎障害,酸性NSAIDsは胃粘膜障害に注意,1,
74,抗炎症薬・免疫,セレコキシブ,COX-2選択的阻害薬,COX-2を選択的に阻害し炎症性PG産生を抑える,COX-2,関節リウマチ・疼痛,心血管イベント・腎障害,胃障害は少なめだが心血管リスクに注意,1,
75,抗炎症薬・免疫,アセトアミノフェン,解熱鎮痛薬,中枢でPG産生を抑え解熱鎮痛作用を示す,中枢COX関連経路,疼痛・発熱,肝障害,抗炎症作用は弱く過量で肝障害,1,
76,抗炎症薬・免疫,プレドニゾロン,副腎皮質ステロイド,細胞内グルココルチコイド受容体を介して炎症性サイトカイン産生を抑える,グルココルチコイド受容体,炎症性疾患・自己免疫疾患,易感染・高血糖・骨粗鬆症,急な中止で副腎不全に注意,1,
77,抗炎症薬・免疫,メトトレキサート,葉酸代謝拮抗薬,DHFRなどを阻害し核酸合成と免疫細胞増殖を抑える,DHFR,関節リウマチ・悪性腫瘍,骨髄抑制・間質性肺炎・肝障害,葉酸代謝拮抗と週1回投与の確認が重要,1,
78,抗炎症薬・免疫,タクロリムス,カルシニューリン阻害薬,FKBPと複合体を作りカルシニューリンを阻害しIL-2産生を抑える,カルシニューリン,移植拒絶反応抑制・アトピー性皮膚炎,腎障害・高血糖・振戦,T細胞活性化を抑制しTDMが重要,1,
79,抗炎症薬・免疫,シクロスポリン,カルシニューリン阻害薬,シクロフィリンと複合体を作りカルシニューリンを阻害する,カルシニューリン,移植拒絶反応抑制,腎障害・歯肉増殖・多毛,タクロリムスと結合タンパクが違う,1,
80,抗炎症薬・免疫,ミコフェノール酸モフェチル,IMPDH阻害薬,イノシン酸デヒドロゲナーゼを阻害しリンパ球のプリン合成を抑える,IMPDH,移植拒絶反応抑制,下痢・骨髄抑制,リンパ球はde novoプリン合成依存性が高い,1,
81,抗炎症薬・免疫,アザチオプリン,プリン代謝拮抗薬,6-MPに変換されプリン合成を阻害し免疫細胞増殖を抑える,プリン合成,移植・自己免疫疾患,骨髄抑制・肝障害,アロプリノール併用で毒性増強に注意,1,
82,抗炎症薬・免疫,インフリキシマブ,抗TNF-α抗体,TNF-αに結合して炎症性サイトカイン作用を抑える,TNF-α,関節リウマチ・炎症性腸疾患,感染症・結核再燃,投与前に結核スクリーニングが重要,1,
83,抗炎症薬・免疫,トシリズマブ,抗IL-6受容体抗体,IL-6受容体を遮断し炎症反応を抑える,IL-6受容体,関節リウマチ・サイトカイン放出症候群,感染症・肝障害,CRPが下がり感染徴候が見えにくいことがある,1,
84,抗炎症薬・免疫,オマリズマブ,抗IgE抗体,遊離IgEに結合し肥満細胞へのIgE結合を抑える,IgE,重症アレルギー性喘息・蕁麻疹,注射部位反応・アナフィラキシー,IgE介在性アレルギーを抑える,0,
85,糖尿病・脂質異常症,インスリン,インスリン製剤,インスリン受容体を刺激しGLUT4移行と糖利用を促進する,インスリン受容体,糖尿病,低血糖・体重増加,低血糖時対応と作用時間の違いが重要,1,
86,糖尿病・脂質異常症,メトホルミン,ビグアナイド薬,肝糖新生を抑制し末梢インスリン感受性を改善する,AMPK関連経路,2型糖尿病,乳酸アシドーシス・消化器症状,腎機能低下時は乳酸アシドーシスに注意,1,
87,糖尿病・脂質異常症,グリメピリド,SU薬,膵β細胞KATPチャネルを閉じてインスリン分泌を促進する,KATPチャネル,2型糖尿病,低血糖・体重増加,インスリン分泌促進薬なので低血糖に注意,1,
88,糖尿病・脂質異常症,ナテグリニド,速効型インスリン分泌促進薬,膵β細胞KATPチャネルを短時間閉じ食後インスリン分泌を促す,KATPチャネル,2型糖尿病の食後高血糖,低血糖,食直前投与がポイント,1,
89,糖尿病・脂質異常症,ピオグリタゾン,チアゾリジン薬,PPARγを活性化しインスリン抵抗性を改善する,PPARγ,2型糖尿病,浮腫・体重増加・心不全悪化,心不全患者では浮腫悪化に注意,1,
90,糖尿病・脂質異常症,シタグリプチン,DPP-4阻害薬,DPP-4を阻害しGLP-1などインクレチン分解を抑える,DPP-4,2型糖尿病,低血糖少なめ・膵炎,血糖依存的にインスリン分泌を促進,1,
91,糖尿病・脂質異常症,リラグルチド,GLP-1受容体作動薬,GLP-1受容体を刺激し血糖依存的インスリン分泌と食欲抑制を起こす,GLP-1受容体,2型糖尿病,悪心・膵炎,胃排出遅延と体重減少方向の作用,1,
92,糖尿病・脂質異常症,エンパグリフロジン,SGLT2阻害薬,近位尿細管SGLT2を阻害し尿糖排泄を増やす,SGLT2,2型糖尿病・心不全,尿路感染・脱水・ケトアシドーシス,インスリン非依存的に血糖を下げる,1,
93,糖尿病・脂質異常症,アカルボース,αグルコシダーゼ阻害薬,小腸αグルコシダーゼを阻害し糖質吸収を遅らせる,αグルコシダーゼ,食後高血糖,腹部膨満・放屁,低血糖時はブドウ糖で対応,1,
94,糖尿病・脂質異常症,アトルバスタチン,HMG-CoA還元酵素阻害薬,肝コレステロール合成を阻害しLDL受容体を増やす,HMG-CoA還元酵素,高LDL血症,横紋筋融解症・肝障害,LDL低下薬の第一選択になりやすい,1,
95,糖尿病・脂質異常症,エゼチミブ,コレステロール吸収阻害薬,小腸NPC1L1を阻害しコレステロール吸収を抑える,NPC1L1,高コレステロール血症,肝機能障害・消化器症状,スタチンと作用点が異なる,1,
96,糖尿病・脂質異常症,フェノフィブラート,フィブラート系薬,PPARαを活性化しTG低下とHDL上昇を起こす,PPARα,高トリグリセリド血症,横紋筋融解症・肝障害,TG低下が主で胆石にも注意,1,
97,消化器・呼吸器,オメプラゾール,プロトンポンプ阻害薬,胃壁細胞H-K ATPaseを不可逆的に阻害し胃酸分泌を抑える,H-K ATPase,胃潰瘍・逆流性食道炎,低Mg血症・感染リスク,酸分泌の最終段階を阻害,1,
98,消化器・呼吸器,ファモチジン,H2受容体遮断薬,胃壁細胞H2受容体を遮断し胃酸分泌を抑える,H2受容体,胃潰瘍・胃炎,便秘・錯乱,ヒスタミンによる胃酸分泌を抑える,1,
99,消化器・呼吸器,ミソプロストール,PGE1誘導体,胃粘膜防御因子を増やし胃酸分泌を抑える,EP受容体,NSAIDs潰瘍予防,下痢・子宮収縮,妊婦禁忌が重要,1,
100,消化器・呼吸器,メトクロプラミド,D2受容体遮断薬,CTZのD2受容体遮断と消化管運動促進で制吐作用を示す,D2受容体,悪心・嘔吐,錐体外路症状・高プロラクチン血症,制吐薬だがD2遮断の副作用に注意,1,
101,消化器・呼吸器,ドンペリドン,D2受容体遮断薬,末梢D2受容体遮断で消化管運動を促進し制吐作用を示す,D2受容体,悪心・嘔吐,QT延長・乳汁分泌,中枢移行が少ないが心電図リスクに注意,0,
102,消化器・呼吸器,モサプリド,5-HT4受容体刺激薬,5-HT4受容体を刺激しACh遊離を促進して消化管運動を高める,5-HT4受容体,機能性ディスペプシア,下痢・腹痛,消化管運動改善薬として使う,0,
103,消化器・呼吸器,ロペラミド,止瀉薬,腸管μ受容体を刺激し蠕動を抑制する,腸管μ受容体,下痢症,便秘・腸閉塞,中枢移行が少ないオピオイド系止瀉薬,1,
104,消化器・呼吸器,センノシド,刺激性下剤,大腸で活性化され腸管蠕動と水分分泌を促進する,大腸粘膜,便秘,腹痛・低K血症,連用で耐性や電解質異常に注意,1,
105,消化器・呼吸器,ラクツロース,浸透圧性下剤,腸内細菌で有機酸に代謝され浸透圧を高めアンモニア吸収も抑える,腸管内浸透圧,便秘・肝性脳症,腹部膨満・下痢,肝性脳症でアンモニア低下に使う,1,
106,消化器・呼吸器,モンテルカスト,ロイコトリエン受容体拮抗薬,CysLT1受容体を遮断し気管支収縮と炎症を抑える,CysLT1受容体,気管支喘息・アレルギー性鼻炎,頭痛・肝機能障害,喘息予防薬で発作止めではない,1,
107,消化器・呼吸器,テオフィリン,キサンチン系薬,PDE阻害とアデノシン受容体遮断により気管支拡張を起こす,PDE アデノシン受容体,気管支喘息・COPD,悪心・けいれん・不整脈,治療域が狭くTDMが重要,1,
108,消化器・呼吸器,ブデソニド,吸入ステロイド,気道炎症性サイトカイン産生を抑え気道過敏性を改善する,グルココルチコイド受容体,気管支喘息,口腔カンジダ・嗄声,吸入後うがいが重要,1,
109,消化器・呼吸器,チオトロピウム,長時間作用性抗コリン薬,気道M3受容体を遮断し気管支収縮を抑える,M3受容体,COPD・喘息,口渇・尿閉,COPDで長時間気管支拡張に使う,1,
110,消化器・呼吸器,アセチルシステイン,去痰薬,痰のムコタンパクのジスルフィド結合を切断し粘稠度を下げる,喀痰ムコタンパク,喀痰喀出困難,悪心・気管支痙攣,アセトアミノフェン中毒にも関連する,0,
111,抗悪性腫瘍薬,シクロホスファミド,アルキル化薬,DNAをアルキル化し架橋形成により複製を阻害する,DNA,悪性リンパ腫・乳癌など,骨髄抑制・出血性膀胱炎,メスナで出血性膀胱炎を予防,1,
112,抗悪性腫瘍薬,シスプラチン,白金製剤,DNA鎖内架橋を形成しDNA複製と転写を阻害する,DNA,固形癌,腎障害・悪心嘔吐・聴覚障害,腎毒性対策に十分な補液が重要,1,
113,抗悪性腫瘍薬,メトトレキサート,葉酸代謝拮抗薬,DHFRを阻害しチミジル酸とプリン合成を抑える,DHFR,白血病・絨毛癌など,骨髄抑制・口内炎・肝障害,ロイコボリン救援療法が重要,1,
114,抗悪性腫瘍薬,フルオロウラシル,ピリミジン代謝拮抗薬,FdUMPとなりチミジル酸合成酵素を阻害する,チミジル酸合成酵素,消化器癌など,骨髄抑制・消化器障害,核酸合成阻害でS期に作用,1,
115,抗悪性腫瘍薬,ゲムシタビン,ピリミジン代謝拮抗薬,DNA合成を阻害しリボヌクレオチド還元酵素も阻害する,DNA合成,膵癌・肺癌,骨髄抑制・間質性肺炎,膵癌で問われやすい代謝拮抗薬,1,
116,抗悪性腫瘍薬,ドキソルビシン,アントラサイクリン系,トポイソメラーゼII阻害とフリーラジカル産生でDNA障害を起こす,トポイソメラーゼII,乳癌・悪性リンパ腫など,心筋障害・骨髄抑制,累積投与量依存性心毒性に注意,1,
117,抗悪性腫瘍薬,エトポシド,トポイソメラーゼII阻害薬,トポイソメラーゼIIを阻害しDNA二本鎖切断を増やす,トポイソメラーゼII,小細胞肺癌など,骨髄抑制・脱毛,細胞周期S期からG2期に作用しやすい,1,
118,抗悪性腫瘍薬,イリノテカン,トポイソメラーゼI阻害薬,活性代謝物SN-38がトポイソメラーゼIを阻害する,トポイソメラーゼI,大腸癌・肺癌,下痢・骨髄抑制,UGT1A1多型と重篤な副作用が関連,1,
119,抗悪性腫瘍薬,パクリタキセル,タキサン系,微小管を安定化し脱重合を阻害して細胞分裂を止める,微小管,乳癌・卵巣癌・肺癌,末梢神経障害・骨髄抑制,微小管脱重合阻害がビンカアルカロイドとの違い,1,
120,抗悪性腫瘍薬,ビンクリスチン,ビンカアルカロイド,チューブリン重合を阻害し微小管形成を抑える,チューブリン,白血病・悪性リンパ腫,末梢神経障害・便秘,微小管重合阻害で神経毒性が重要,1,
